Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
97464,73972,43920,-59433
95251,78837,46467,-63239
93121,74349,43111,-55147
91043,79413,45675,-58909
71761,-57487,49451,56705
73809,-54683,44579,54438
67026,-61368,54588,54873
68336,-59548,49084,53616
63574,-64164,55044,51771
68542,29586,83754,3870
68015,33929,80887,2651
67227,37385,77511,2562
60719,17371,107473,-2204
61480,19050,99218,-6909
63032,18974,99816,-7019
67711,11209,108025,5551
67190,13168,106304,5688
66703,15163,102719,6485
63321,29197,86339,4870
62892,33456,83260,3650
62224,36846,79660,3481
56858,18748,108592,-186
56529,18357,108539,-712
55803,17881,106807,-1373
57355,19489,100319,-5139
58915,19299,100991,-5312
60150,17894,101574,-4473
64518,9450,110358,5608
64166,11080,110208,5206
63696,13044,108468,5067
63275,15021,104875,5760
62770,17152,100284,6856
60417,28815,88319,4913
60103,33041,85057,3674
59570,36400,81256,3413
54980,22342,103342,1122
54975,22231,103913,982
54364,21230,103998,1567
55136,19590,109528,107
55022,19274,109548,-665
54415,18805,107879,-1441
53656,18450,105146,-2143
55977,19771,101147,-4512
57513,19451,101803,-4698
58719,18001,102403,-4039
63149,10875,111627,4726
62755,12883,109815,4384
62404,14906,106158,4971
59701,33003,85977,3583
59245,36345,81993,3280
61893,20709,102035,-4828
61495,23097,103835,-4608
61042,24118,105398,-3635
54610,23550,109434,-1429
53997,22269,109397,30
52357,20843,104653,2562
52834,23146,104704,625
52864,23014,105262,353
52306,21946,105358,859
54224,20072,110830,-1551
54351,19819,110951,-2514
53918,19346,109352,-3316
53239,18897,106619,-3857
56841,19199,102841,-5502
57946,17698,103400,-4926
62197,10277,112947,4549
61862,12336,111048,4155
61564,14422,107318,4714
59130,32766,86748,4074
58698,36110,82590,3765
57162,42904,72392,3949
56344,47022,66714,3554
50382,-1488,86788,-2464
59296,20878,103016,-3320
58742,23420,104992,-3344
58127,24583,106671,-2616
58235,24759,107225,-2008
50310,21452,106380,-128
50446,22742,106070,-1095
50774,23738,106448,-2119
50767,23569,107053,-2456
52781,19811,112983,-5149
52555,19305,111455,-5870
56113,16747,104891,-6069
56606,14582,105016,-4935
57013,12591,105083,-3616
57316,10776,105962,-2215
56755,31887,87751,5534
56339,35251,83419,5202
55667,38441,78401,5435
54896,42226,72974,5463
54107,46515,67203,5217
53192,50986,61206,4834
45922,-34320,50696,3373
45926,-31340,55268,3181
47278,-5454,80902,-2587
48374,-1550,87022,-2540
49632,2174,92000,-1860
51128,5902,95848,-727
56201,23761,106151,-3480
55408,25064,107962,-3009
47887,22109,108277,-3733
47330,22910,109386,-5535
46262,21380,108850,-4487
45601,20429,107573,-3627
45580,19956,106252,-3174
52979,13295,106763,-5518
53190,11302,106818,-4200
53302,9474,107708,-2686
53515,7641,109881,-630
54150,5998,112842,2161
51604,37166,79288,7425
50955,41091,73769,7468
50276,45566,67924,7299
47245,59879,49931,6167
45388,-5566,80942,-2906
46364,-1474,87102,-3174
47528,2374,92152,-2680
48912,6128,96100,-1542
52409,25789,108967,-4092
52428,26216,109652,-3979
53557,27593,106159,-4800
49897,28283,107637,-7816
48185,27901,111385,-8546
42867,22147,110905,-7149
42079,21057,109653,-6046
41927,20421,108309,-5272
41970,19792,108016,-4807
48682,12224,108258,-5107
48759,10221,108279,-3941
48747,8377,109155,-2502
42027,-25331,60899,1923
41776,-20092,63766,362
42990,-5412,80912,-3110
43806,-1118,87090,-3535
44842,2856,92190,-3135
46080,6622,96222,-1974
48769,26677,109783,-4865
48736,27256,110532,-4965
49474,27916,109470,-5288
50186,28888,107018,-5852
50435,29817,104337,-6539
46871,29817,108167,-8627
45138,29492,111982,-9328
44103,28725,114311,-9430
40494,24894,113018,-9629
39184,23140,112690,-8534
38315,21915,111469,-7341
38061,21123,110115,-6400
44221,13553,109711,-4734
44334,11300,109628,-4195
44870,3568,115502,2393
45525,2325,118107,5238
40460,-30778,58114,3016
39709,-25881,60817,1740
39344,-20436,63774,312
40124,-5056,80940,-2867
40794,-562,87126,-3278
41700,3536,92260,-2862
45433,29105,110313,-5746
46371,30195,107815,-6285
46862,31218,105030,-6889
43698,31368,108444,-8627
42010,31110,112276,-9257
41019,30383,114657,-9329
40630,28712,115266,-8681
36909,26037,114507,-10028
35567,24173,114283,-9101
34687,22815,113083,-7985
34401,21881,111715,-7090
34467,19721,115173,-6469
40309,12811,111163,-3567
40411,10519,110937,-3340
40451,4605,113541,-525
40978,2574,116492,1969
41703,1161,119117,4717
42325,1373,120241,6452
37862,-31422,57918,2906
37089,-26363,60853,1708
36668,-20726,63940,397
37842,4,87382,-2590
38627,4225,92545,-2100
41449,30077,111273,-5984
42628,31278,108722,-6516
43402,32392,105826,-7054
40772,32708,108692,-8532
39156,32520,112484,-9136
38224,31850,114858,-9214
37902,30166,115510,-8626
33682,27086,115856,-10327
32353,25137,115707,-9557
31074,21512,112698,-7372
30931,20541,113843,-7249
31241,20037,116449,-7654
32134,20082,119586,-8563
37392,8094,111650,-2498
37376,6222,112208,-2021
37450,4164,114186,-779
38008,2028,117130,1542
38816,458,119816,4238
39552,534,120980,6072
35356,514,87956,-1820
36041,4873,93125,-1321
37309,28823,112447,-5049
37039,29803,113447,-5933
38053,30833,112373,-6540
39470,32138,109762,-7177
40538,33356,106748,-7795
38437,33865,108969,-9532
36877,33749,112637,-10278
35997,33151,114927,-10509
33643,29041,113379,-10701
28798,23532,114084,-9341
28646,22362,113626,-8970
28532,21306,114716,-8936
28863,20695,117301,-9366
29788,20652,120480,-10214
35317,10311,112905,-1831
36078,2082,117556,1924
36948,340,120354,4740
37782,262,121628,6782
34341,-40623,46361,7863
35074,29414,113448,-5235
34734,30494,114524,-6441
32487,30425,113391,-13328
29540,29618,117368,-14119
28184,27584,117290,-13285
26982,22664,115088,-10739
27346,21994,117680,-11037
28332,21860,120934,-11700
34069,13451,114693,-372
34190,11028,113892,-740
34255,8965,113103,-944
34271,7057,113307,-653
34352,4892,115102,597
33630,31880,115194,-6266
32555,32411,113363,-16041
29231,31533,117859,-16805
27775,29405,117831,-15941
26908,27722,116566,-14660
26665,26555,115033,-13685
33475,11089,115095,-357
33427,8917,114103,-699
33349,6927,114111,-406
33339,4661,115787,975
33895,41077,67619,19819
33708,46726,61298,20031
36655,36783,112075,-8240
38582,38344,108826,-9702
27886,30498,118980,-18690
26897,28635,117671,-17389
26544,27330,116070,-16300
26191,26023,115529,-15527
32187,7551,114965,-1093
31902,5496,114752,-828
31705,3163,116275,666
32604,29996,79672,20913
32528,34278,73148,21199
32446,39612,66784,21523
32309,45395,60375,21715
32159,51345,54073,21633
32096,57410,48024,21115
32208,63432,42290,20105
32655,35231,116947,-4869
26485,28067,118877,-20112
26053,26631,117121,-18915
